priority,reason,rank_scope,source_rank,adp,name,position,team,player_id,sleeper_id,known_external_sources,issue,recommended_action
P0,Top-100 live-draft player missing Yahoo ID.,top_200,61,63.4,TreVeyon Henderson,RB,NE,ply_sleeper_12529,12529,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P0,Top-100 live-draft player missing Yahoo ID.,top_200,69,71.4,Colston Loveland,TE,CHI,ply_sleeper_12517,12517,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P0,Top-100 live-draft player missing Yahoo ID.,top_200,74,76.4,Tetairoa McMillan,WR,CAR,ply_sleeper_12526,12526,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P0,Top-100 live-draft player missing Yahoo ID.,top_200,88,90.4,Cam Ward,QB,TEN,ply_sleeper_12522,12522,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P0,Top-100 live-draft player missing Yahoo ID.,top_200,97,99.4,Cam Skattebo,RB,NYG,ply_sleeper_12481,12481,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,101,103.4,Elijah Arroyo,TE,SEA,ply_sleeper_12521,12521,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,105,107.4,DJ Giddens,RB,IND,ply_sleeper_12471,12471,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,108,110.4,Dylan Sampson,RB,CLE,ply_sleeper_12469,12469,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,116,118.4,Jayden Higgins,WR,HOU,ply_sleeper_12484,12484,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,120,122.4,Gunnar Helm,TE,TEN,ply_sleeper_12502,12502,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,123,125.4,Jaydon Blue,RB,DAL,ply_sleeper_12457,12457,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,126,128.4,Harold Fannin,TE,CLE,ply_sleeper_12506,12506,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,128,130.4,Luther Burden,WR,CHI,ply_sleeper_12519,12519,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,132,134.4,Jaxson Dart,QB,NYG,ply_sleeper_12508,12508,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,143,145.4,Ollie Gordon,RB,MIA,ply_sleeper_12495,12495,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,146,147.9,GB DST,DST,GB,ply_sleeper_gb,GB,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_gb.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,147,148.9,KC DST,DST,KC,ply_sleeper_kc,KC,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_kc.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,148,149.9,LV DST,DST,LV,ply_sleeper_lv,LV,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_lv.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,149,150.9,NE DST,DST,NE,ply_sleeper_ne,NE,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_ne.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,150,151.9,NO DST,DST,NO,ply_sleeper_no,NO,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_no.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,151,152.9,SF DST,DST,SF,ply_sleeper_sf,SF,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_sf.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,152,153.9,TB DST,DST,TB,ply_sleeper_tb,TB,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_tb.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,153,156.6,ARI DST,DST,ARI,ply_sleeper_ari,ARI,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_ari.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,154,157.6,ATL DST,DST,ATL,ply_sleeper_atl,ATL,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_atl.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,155,158.6,BAL DST,DST,BAL,ply_sleeper_bal,BAL,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_bal.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,156,159.6,BUF DST,DST,BUF,ply_sleeper_buf,BUF,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_buf.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,157,160.6,CAR DST,DST,CAR,ply_sleeper_car,CAR,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_car.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,158,161.6,CHI DST,DST,CHI,ply_sleeper_chi,CHI,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_chi.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,159,162.6,CIN DST,DST,CIN,ply_sleeper_cin,CIN,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_cin.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,160,163.6,CLE DST,DST,CLE,ply_sleeper_cle,CLE,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_cle.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,161,164.6,DAL DST,DST,DAL,ply_sleeper_dal,DAL,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_dal.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,162,165.6,DEN DST,DST,DEN,ply_sleeper_den,DEN,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_den.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,163,166.6,DET DST,DST,DET,ply_sleeper_det,DET,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_det.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,164,167.6,HOU DST,DST,HOU,ply_sleeper_hou,HOU,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_hou.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,165,168.6,IND DST,DST,IND,ply_sleeper_ind,IND,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_ind.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,166,169.6,JAX DST,DST,JAX,ply_sleeper_jax,JAX,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_jax.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,167,170.6,LAC DST,DST,LAC,ply_sleeper_lac,LAC,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_lac.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,168,171.6,LAR DST,DST,LAR,ply_sleeper_lar,LAR,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_lar.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,169,172.6,MIA DST,DST,MIA,ply_sleeper_mia,MIA,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_mia.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,170,173.6,MIN DST,DST,MIN,ply_sleeper_min,MIN,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_min.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,171,174.6,NYG DST,DST,NYG,ply_sleeper_nyg,NYG,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_nyg.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,172,175.6,NYJ DST,DST,NYJ,ply_sleeper_nyj,NYJ,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_nyj.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,173,176.6,PHI DST,DST,PHI,ply_sleeper_phi,PHI,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_phi.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,174,177.6,PIT DST,DST,PIT,ply_sleeper_pit,PIT,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_pit.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,175,178.6,SEA DST,DST,SEA,ply_sleeper_sea,SEA,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_sea.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,176,179.6,TEN DST,DST,TEN,ply_sleeper_ten,TEN,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_ten.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,177,180.6,WAS DST,DST,WAS,ply_sleeper_was,WAS,sleeper,Canonical Sleeper DST row has no active Yahoo external ID mapping.,Add/verify Yahoo DST ID for canonical ply_sleeper_was.
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,182,184.4,Theo Wease,WR,MIA,ply_sleeper_12860,12860,cbs|espn|fantasy_data|fantasypros|gsis|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,184,186.4,Travis Hunter,WR,JAX,ply_sleeper_12530,12530,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,185,187.4,Robbie Ouzts,RB,SEA,ply_sleeper_12656,12656,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,190,192.4,Tre' Harris,WR,LAC,ply_sleeper_12509,12509,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,191,193.4,Tahj Brooks,RB,CIN,ply_sleeper_12543,12543,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,198,200.4,Andy Borregales,K,NE,ply_sleeper_12713,12713,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical kicker row has no active Yahoo external ID mapping.,"Look up the kicker in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P1,Top-200 or DST gap likely to affect live draft sync.,top_200,199,201.4,Charlie Smyth,K,NO,ply_sleeper_11653,11653,cbs|espn|fantasy_data|gsis|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats|swish,Canonical kicker row has no active Yahoo external ID mapping.,"Look up the kicker in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P2,Kicker mapping gap; relevant if league drafts kickers.,k_dst,206,208.4,Tyler Loop,K,BAL,ply_sleeper_12711,12711,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical kicker row has no active Yahoo external ID mapping.,"Look up the kicker in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P2,Kicker mapping gap; relevant if league drafts kickers.,k_dst,208,210.4,Ryan Fitzgerald,K,CAR,ply_sleeper_12961,12961,espn|fantasy_data|fantasypros|gsis|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar,Canonical kicker row has no active Yahoo external ID mapping.,"Look up the kicker in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P2,Kicker mapping gap; relevant if league drafts kickers.,k_dst,216,218.4,Spencer Shrader,K,IND,ply_sleeper_12185,12185,cbs|espn|fantasy_data|fantasypros|gsis|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats|swish,Canonical kicker row has no active Yahoo external ID mapping.,"Look up the kicker in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P2,Kicker mapping gap; relevant if league drafts kickers.,k_dst,219,221.4,Harrison Mevis,K,LAR,ply_sleeper_12015,12015,cbs|espn|fantasy_data|fantasypros|gsis|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats|swish,Canonical kicker row has no active Yahoo external ID mapping.,"Look up the kicker in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P2,Kicker mapping gap; relevant if league drafts kickers.,k_dst,222,224.4,Ben Sauls,K,NYG,ply_sleeper_13066,13066,cbs|espn|fantasy_data|gsis|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical kicker row has no active Yahoo external ID mapping.,"Look up the kicker in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P2,Kicker mapping gap; relevant if league drafts kickers.,k_dst,223,225.4,Lenny Krieg,K,NYJ,ply_sleeper_12548,12548,cbs|espn|fantasy_data|gsis|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical kicker row has no active Yahoo external ID mapping.,"Look up the kicker in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
